Company Name	Position Title	Position Type	Location	Company Stage	Monthly Salary	Monthly Stock/ Stipend	Annualized Base Salary	Stock/ Stipend per Year	Signing Bonus	Additional Benefits	Did You Negotiate the Offer?	Did You Accept the Offer?	Time Frame From First Interview Invitation to Offer in Weeks	Sex	Degree Level	Last Year of College	Last School Attended	Major	Additional Information	Intern Conversion	Base Salary	Base Salary Rate	Housing Stipend	Stock Bonuses/Benefits	Stock in currency or number of units	Stock Vesting Schedule Details	Annualized Recurring Renumeration (inc. stock and stipend)	Recurring Renumeration per Month (inc. stock and stipend)	Total First Year Annualized Renumeration(including Signon & Relocation)	Timestamp
Qualcomm	Software Engineering Intern	Intern	"San Diego, CA"	Public	5720	0	68640	0			No	Yes		Male	Bachelors	Sophomore	Purdue University	Computer Graphics			33	Per hour		0	No Stock Offered		"$68,640 "	"$5,720 "	"$68,640 "	11/30/2016 13:26
Amazon	sde	Full Time	Seattle	Public	8750	0	105000	0			No	Still considering	0	Male	Bachelors	Graduate	Waterloo	Computer Engineering		Yes	105000	Per year	0	50000	65000	"5,15,40,40"	"$105,000 "	"$8,750 "	"$105,000 "	11/30/2016 13:29
Amazon	SDE Intern	Intern	Unknown	Public	7700	2500	92400	30000			No	Yes	1	Male	Bachelors	Sophomore	Top State School	CS			7700	Per month	2500	0	No Stock Offered		"$122,400 "	"$10,200 "	"$122,400 "	11/30/2016 13:32
Goldman Sachs	Technology Summer Analyst	Intern	New York	Public	7106.666667	600	85280	7200			No	Yes	5	Male	Bachelors	Junior	Target	Computer Science			41	Per hour	600	0	No Stock Offered		"$92,480 "	"$7,707 "	"$92,480 "	11/30/2016 13:33
Yext	Software Engineering Intern	Intern	NYC	Series D+	7800	0	93600	0	5000	$17 for each of lunch and dinner	No	Still considering	4	Male	Bachelors	Junior	Ivy	Computer Science			45	Per hour		0	No Stock Offered		"$93,600 "	"$7,800 "	"$98,600 "	11/30/2016 13:34
Amazon	SDE Intern	Intern	Seattle	Public	7725	2500	92700	30000			No	Still considering	3	Male	Bachelors	Junior		CS		No	7725	Per month	2500	0	No Stock Offered		"$122,700 "	"$10,225 "	"$122,700 "	11/30/2016 13:34
Government	cyber security analyst	Full Time	Illinois	Government	6666.666667	166.6666667	80000	2000			Yes	Yes	20	Male	Masters	Graduate				No	80000	Per year		8000	USD		"$82,000 "	"$6,833 "	"$82,000 "	11/30/2016 13:35
Microsoft		Intern	Seattle	Public	7100	1333	85200	15996		1500	No	Yes		Female	Bachelors						7100	Per month	1333	0	USD		"$101,196 "	"$8,433 "	"$101,196 "	11/30/2016 13:36
Susquehanna International Group LLP	Software Developer	Full Time	"Bala Cynwyd, PA"	Private	8333.333333	104.1666667	100000	1250	10000	"Gym, free lunch"	No	Yes		Male	Bachelors	Super Senior	Liberal Arts	Computer Science Engineering		Yes	100000	Per year		5000	USD		"$101,250 "	"$8,438 "	"$111,250 "	11/30/2016 13:38
Goldman Sachs	Summer Technology Analyst	Intern	New York City	Public	7083.333333	0	85000	0	1500	None	No	No	7	Male	Bachelors	Senior	University of Michigan	Computer Science		No	85000	Per year	0	0	No Stock Offered	None	"$85,000 "	"$7,083 "	"$86,500 "	11/30/2016 13:40
Intuit	Software Engineer 	Full Time	"Mountain View, CA"	Public	9166.666667	458.3333333	110000	5500	5000	"Full health, dental, $600 per year for membership, $100 per year for public transit, discounts on smartphones, 6% of salary 401k match at $1.25 for every $1 I put in"	No	Yes	3	Male	Bachelors	Senior	San Jose State University	BS Computer Science	"2-stage interview: Behavioral, Technical + Whiteboard"	No	110000	Per year		22000	USD	3 years	"$115,500 "	"$9,625 "	"$120,500 "	11/30/2016 13:42
LiveRamp	Software Engineer Intern	Intern	San Francisco	Public	7500	1000	90000	12000	0		No	Still considering	5	Male	Bachelors	Junior	"University of California, Berkeley"	Computer Science 			7500	Per month	1000	0	No Stock Offered		"$102,000 "	"$8,500 "	"$102,000 "	11/30/2016 13:44
Facebook	Software Engineering Intern	Intern	"Menlo Park, CA"	Public	8000	1000	96000	12000	300	"Gym, food, transportation, housing, laundry, house keeping"	No	Yes	3	Male	Bachelors	Junior	Midwest Dtate College	Computer Science			8000	Per month	1000	0	USD		"$108,000 "	"$9,000 "	"$108,300 "	11/30/2016 13:44
Microsoft	Program Manager Intern	Intern	Bellevue	Public	7200	1333.33	86400	15999.96	1500	"Gym, ORCA card, Health Benefits, Software discounts"	No	Yes	7	Male	Bachelors	Senior	University of Michigan	Computer Science		No	7200	Per month	1333.33	0	No Stock Offered		"$102,400 "	"$8,533 "	"$103,900 "	11/30/2016 13:46
Microsoft	Software engineer	Intern	"Redmond, WA"	Public	7200	4000	86400	48000	1500	"Relocation, health benefits, gym, public transit and microsoft shuttle, microsoft prime card, match donations up to $1000/yr, microsoft intern signature event and free gift"	No	Yes	9	Male	Bachelors	Junior	McGill University	Software engineering	12 weeks		7200	Per month	4000	0	USD		"$134,400 "	"$11,200 "	"$135,900 "	11/30/2016 13:46
Deutsche Bank	Analyst	Full Time	NYC	Public	6666.666667	0	80000	0	10000		No	Yes		Male	Bachelors	Senior	Virginia Tech	Computer Science		Yes	80000	Per year		0	USD		"$80,000 "	"$6,667 "	"$90,000 "	11/30/2016 13:46
Amazon	Software Development Engineer I	Full Time	"Seattle, WA"	Public	8583.333333	1354.166667	103000	16250	52000		No	Yes		Male	Bachelors	Senior	University of Nevada-Reno	Computer Science and Engineering	"Signing Bonus is split in two years; 26k year 1, 26k year 2"	Yes	103000	Per year		65000	USD	"4 year; 5% year 1, 15% year 2, 40% year 3, 40% year 4"	"$119,250 "	"$9,938 "	"$171,250 "	11/30/2016 13:52
Uber	Software Engineer	Full Time	"San Francisco, CA"	Series D+	9166.666667	3125	110000	37500		30-50K annual bonus + generic SF tech company perks	No	Still considering		Prefer Not to Disclose	Bachelors	Senior				No	110000	Per year		150000	USD	4 years vesting for 1 year cliff	"$147,500 "	"$12,292 "	"$147,500 "	11/30/2016 13:48
Cerner	Academy Software Engineer	Full Time	"Kansas City, MO"	Public	5833.333333	0	70000	0	3000	gym	Prefer not to disclose	Yes	5	Male	Bachelors	Senior	University of Pittsburgh	Biology		No	70000	Per year	0	0	No Stock Offered	5 years vesting	"$70,000 "	"$5,833 "	"$73,000 "	11/30/2016 13:49
ViaSat	Engineer - Intern	Intern	"Carlsbad, CA"	Public	4333.333333	750	52000	9000			No	No	3	Prefer Not to Disclose	Bachelors	Junior	SUNY	Computer Engineering		No	25	Per hour	750	0	USD		"$61,000 "	"$5,083 "	"$61,000 "	11/30/2016 13:53
Slack	Software Engineer	Full Time	San Francisco	Series D+	9583.333333	2083.333333	115000	25000		The usual SF tech company benefits				Prefer Not to Disclose	Bachelors						115000	Per year		100000	USD	4 years with 1 year cliff	"$140,000 "	"$11,667 "	"$140,000 "	11/30/2016 13:51
Salesforce	SDE	Full Time	San Francisco	Public	9833.333333	1562.5	118000	18750	25000	"Relocation bonus, std. perks"	Yes	Yes		Male	Bachelors		top CS program			Yes	118000	Per year		75000	USD	4	"$136,750 "	"$11,396 "	"$161,750 "	11/30/2016 13:51
Target	Software Engineer - Intern 	Intern	"Minneapolis, MN"	Public	4333.333333	0	52000	0			No	Yes	3	Female	Bachelors	Junior	SUNY	Computer Engineerig		No	25	Per hour		0	USD		"$52,000 "	"$4,333 "	"$52,000 "	11/30/2016 13:52
MongoDB	Software Engineer	Intern	New York	Series D+	6933.333333	3000	83200	36000			No	Yes		Male	Bachelors	Junior				No	40	Per hour	3000	0	USD		"$119,200 "	"$9,933 "	"$119,200 "	11/30/2016 13:55
IBM	Software Developer	Full Time	Toronto	Series A	6166.666667	0	74000	0	3000		No	Yes	2	Male	Bachelors	Graduate	Canadian University	Computer Science		Yes	74000	Per year		0	No Stock Offered		"$74,000 "	"$6,167 "	"$77,000 "	11/30/2016 13:57
Microsoft	Microsoft Explorer Intern	Intern	"Redmond, Washington "	Public	5373.333333	0	64480	0		"Health club, bus pass, subsidized housing"	No	Yes	8	Male	Bachelors	Sophomore	Purdue University 	Computer Science 	12-week internship with Windows Experiences group	No	31	Per hour		0	USD		"$64,480 "	"$5,373 "	"$64,480 "	11/30/2016 13:59
General Mills	Application Developer Intern	Intern	"Minneapolis, MN"	Public	3800	0	45600	0			No	Yes	2	Male	Bachelors	Junior	Northeast State College	Computer Science			3800	Per month		0	No Stock Offered		"$45,600 "	"$3,800 "	"$45,600 "	11/30/2016 14:00
Google	Software Engineer	Full Time	"Mountain View, CA"	Public	10000	0	120000	0	20000	"food, shuttles"	No	Yes		Female	Masters	Graduate	University of Pennsylvania	Computer Science		Yes	120000	Per year		135	Number of Units	4	"$120,000 "	"$10,000 "	"$140,000 "	11/30/2016 14:01
Counterpointe	Consultant	Full Time	"Vienna, Virginia"	Private	5625	0	67500	0			No	Yes	0.5	Male	Bachelors	Senior	Virginia Tech	Computer Science	"Interview process went very well, technical interview seemed pretty trivial. Offer included health/dental/life insurance, 11 Federal Holidays. Was offered the position around October 26th"	No	67500	Per year		0	No Stock Offered		"$67,500 "	"$5,625 "	"$67,500 "	11/30/2016 14:02
Bloomberg	Software Development Intern	Intern	New York City	Series B	7453.333333	0	89440	0	2000		No	No	0	Male	Bachelors	Sophomore	Tufts University	Computer Science and Quantitative Economics		No	43	Per hour	0	0	No Stock Offered		"$89,440 "	"$7,453 "	"$91,440 "	11/30/2016 14:09
Capital One	TDP Intern	Intern	"Richmond, VA"	Public	5416.666667	0	65000	0	3000		No	No		Male	Bachelors	Junior	Purdue	Computer Science		No	2500	Per bi-week (fortnight)		0	USD		"$65,000 "	"$5,417 "	"$68,000 "	11/30/2016 14:09
Apple	Data Science Intern	Intern	"Cupertino, CA"	Public	6586.666667	1000	79040	12000		Free gym and dinner	No	Yes	8	Male	Bachelors	Junior	We upset Clemson in football	Computer Science		No	38	Per hour	1000	0	No Stock Offered		"$91,040 "	"$7,587 "	"$91,040 "	11/30/2016 14:09
Yelp	Software Engineering Intern	Intern	San Francisco	Public	7626.666667	1500	91520	18000	0	Round trip flight	No	Still considering	6	Male	Bachelors	Sophomore	Tufts University	Computer Science	Given exploding offer deadline of 1 week. Asked to extend 2 more days and reluctantly received it. Verbal confirmation that I'd be given an offer was 7 weeks.	No	3520	Per bi-week (fortnight)	1500	0	No Stock Offered		"$109,520 "	"$9,127 "	"$109,520 "	11/30/2016 14:13
Bank of America	Global Technology Analyst	Intern	"New York, NY"	Public	5720	2500	68640	30000				Still considering	3	Male	Bachelors	Sophomore	UC	Computer Science			33	Per hour	2500	0	No Stock Offered		"$98,640 "	"$8,220 "	"$98,640 "	11/30/2016 14:14
Intentional Software		Intern	Seattle	Private	6933.333333	0	83200	0			No	Yes	4	Male	Masters	Freshman	Midwest	CS		No	40	Per hour		0	No Stock Offered		"$83,200 "	"$6,933 "	"$83,200 "	11/30/2016 14:14
Microsoft	Software Engineering Intern	Intern	Redmond	Public	7200	4000	86400	48000		"gym membership, shuttles, travel stipend, relocation"	No	Yes	5	Male	Bachelors	Senior		Computer Science		No	7200	Per month	4000	0	No Stock Offered		"$134,400 "	"$11,200 "	"$134,400 "	11/30/2016 14:14
Qualcomm	Interim Engineering Intern	Intern	"San Diego, CA"	Public	6586.666667	0	79040	0		Relocation package: flights and corporate housing	No	Yes		Male	Bachelors	Junior	Purdue	Computer Science		No	38	Per hour		0	USD		"$79,040 "	"$6,587 "	"$79,040 "	11/30/2016 14:16
Amazon	Software Developer Engineer	Full Time	New Jersey	Public	8583.333333	1562.5	103000	18750	17500	"Gym, Free Lunch, Tuition Reimbursement, 401k, Health Insurance, Amazon discounts etc. "	No	Yes	1	Male	Bachelors	Senior		Computer Science	"I have done 3 high profile internships (one or more being {GOOG, AMZN, FB, MSFT} ) and significant engineering leadership experience "	No	103000	Per year		75000	USD	3 years 	"$121,750 "	"$10,146 "	"$139,250 "	11/30/2016 14:17
IBM	Devops Engineer New Grad	Full Time	Austin	Public	7083.333333	0	85000	0	8000		No	Yes	4	Male	Bachelors	Super Senior		Computer Science		No	85000	Per year	0	0	No Stock Offered		"$85,000 "	"$7,083 "	"$93,000 "	11/30/2016 14:18
Amazon	Software engineer	Full Time	Hopefully Seattle	Public	8583.333333	1250	103000	15000	37000	Relocation 10k	No	Yes	8	Male	Bachelors	Senior	UIUC	Computer engineering		No	103000	Per year		60000	USD	"5% in first year, 15% in second year, then 20% every six months. Total 4 year vesting schedule"	"$118,000 "	"$9,833 "	"$155,000 "	11/30/2016 14:18
Qualcomm	Software Engineering Intern	Intern	San Diego	Public	6586.666667	0	79040	0				Yes		Male	Bachelors	Junior		Computer Science			38	Per hour		0	USD		"$79,040 "	"$6,587 "	"$79,040 "	11/30/2016 14:19
Largest Drone Company in the World	iOS Developer	Full Time	Palo Alto	Public	8333.333333	1041.666667	100000	12500			Yes	Yes	2	Male	Bachelors	Senior	UC	Computer Science		Yes	100000	Per year		50000	USD		"$112,500 "	"$9,375 "	"$112,500 "	11/30/2016 14:19
Target Corporation	"Software Engineer, Intern"	Intern	"Minneapolis, Minnesota"	Public	4333.333333	0	52000	0		Subsidized housing @ WAHU Apartments : $200 for 10 weeks	No	Yes	3	Male	Bachelors	Senior	"California State University, Long Beach"	Computer Science	Participated in Diversity Leadership Symposium	No	25	Per hour		0	No Stock Offered		"$52,000 "	"$4,333 "	"$52,000 "	11/30/2016 14:21
Goldman Sachs	Summer Technology Analyst	Intern	NYC	Public	7083.333333	1000	85000	12000			No	Yes	8	Male	Bachelors	Junior	High ranking UC school	Computer Engineering	"1 HackerRank, 1 HireVue, 2 45 minute in NYC interviews, 1 networking session"	No	85000	Per year	1000	0	USD		"$97,000 "	"$8,083 "	"$97,000 "	11/30/2016 14:21
Jump Trading	Software Engineer Intern	Intern	"Chicago, USA"	Private	10000	1500	120000	18000	0	Free flights to and from	No	Yes	2	Male	Bachelors	Junior	"one of {MIT, CMU, Stanford}"	Computer Science			10000	Per month	1500	0	No Stock Offered		"$138,000 "	"$11,500 "	"$138,000 "	11/30/2016 14:22
Bank of America	Global Tech Summer Analyst	Intern	Charlotte	Public	5200	0	62400	0	2500		No	Yes	8	Prefer Not to Disclose	Bachelors	Junior	Private Southeast	Finance			30	Per hour		0	USD		"$62,400 "	"$5,200 "	"$64,900 "	11/30/2016 14:22
Box	Software Engineering Intern	Intern	"Redwood City, CA"	Public	6400	0	76800	0	5000	"gym membership, free flight, free breakfast/lunch/dinner, free caltrain"	No	Yes	3	Male	Bachelors	Junior	Midwest University	Computer Science and Physics			6400	Per month		0	No Stock Offered		"$76,800 "	"$6,400 "	"$81,800 "	11/30/2016 14:22
Facebook	Software Engineer	Full Time	"Menlo Park, CA"	Public	9583.333333	3333.333333	115000	40000	100000		Yes	Yes		Male	Masters	Graduate	Stanford University	Computer Science		Yes	115000	Per year		160000	USD	4 years	"$155,000 "	"$12,917 "	"$255,000 "	11/30/2016 14:25
Microsoft	Program Manager	Full Time	"Redmond , WA"	Public	8916.666667	3125	107000	37500	50000		Yes	No	4	Male	Bachelors	Senior	UC	Computer Engineering		No	107000	Per year		150000	USD	3.5 years	"$144,500 "	"$12,042 "	"$194,500 "	11/30/2016 14:27
Google	EP intern	Intern	Bay Area	Public	4853.333333	3000	58240	36000		"Gym, food, etc"	No	Yes	5	Female	Bachelors	Sophomore	Midwestern liberal arts college	Computer Science and Linguistics double major		No	28	Per hour	3000	0	No Stock Offered		"$94,240 "	"$7,853 "	"$94,240 "	11/30/2016 14:27
Microsoft		Intern	Redmond	Public	7200	1333	86400	15996			No	Yes	5	Female	Bachelors	Senior		Computer science		No	7200	Per month	1333	0	No Stock Offered		"$102,396 "	"$8,533 "	"$102,396 "	11/30/2016 14:30
MSFT	swe	Full Time	bay area	Public	10000	2500	120000	30000	20000	relocation	Yes	Yes	6	Female	Masters	Graduate	east coast	cs		No	120000	Per year		120000	USD	3.5 years	"$150,000 "	"$12,500 "	"$170,000 "	11/30/2016 14:31
Mid Size Web Devlopment Company	Software Engineer	Full Time	Northern Virginia	Series B	6250	0	75000	0	2000	Various amenities	No	Still considering	8	Male	Bachelors	Senior	Upper tier Public University	Computer Science		No	75000	Per year		0	No Stock Offered		"$75,000 "	"$6,250 "	"$77,000 "	11/30/2016 14:32
Google	Software Engineer	Full Time	Mountain View	Public	9333.333333	0	112000	0	22500		No	Yes	3	Prefer Not to Disclose	Bachelors		Small University in Ontario	Computer Science		Yes	112000	Per year		135	Number of Units		"$112,000 "	"$9,333 "	"$134,500 "	11/30/2016 14:32
DE Shaw Research	Research Intern	Intern	NYC	Private	10500	4000	126000	48000		lunch	Prefer not to disclose	Still considering	4	Male	Bachelors	Sophomore		CS		No	10500	Per month	4000	0	No Stock Offered		"$174,000 "	"$14,500 "	"$174,000 "	11/30/2016 14:33
VMware	MTS 2	Full Time	Austin	Public	8750	1041.666667	105000	12500	40000	12% Annual bonus on Base	Yes	Yes	4	Male	Masters	Graduate		Computer Science		No	105000	Per year		50000	USD		"$117,500 "	"$9,792 "	"$157,500 "	11/30/2016 14:33
Amazon	SDE I	Full Time	"Seattle, WA"	Public	8583.333333	0	103000	0	35000	public transportation card (all metro area bus/rail fares free)	No	Yes	4	Male	Bachelors	Senior	Private Catholic (East Coast)	Computer Engineering		No	103000	Per year		80	Number of Units	5/15/40/40	"$103,000 "	"$8,583 "	"$138,000 "	11/30/2016 14:35
Google	Software Engineer	Full Time	Bay Area	Public	9333.333333	0	112000	0	30000		Yes	Yes		Male	Bachelors	Senior	Top-5 CS	CS		No	112000	Per year		105000	Number of Units	4 years	"$112,000 "	"$9,333 "	"$142,000 "	11/30/2016 14:35
Security Consulting Firm	Security Engineer	Full Time	Seattle	Series D+	7083.333333	0	85000	0	5000		Yes	Yes	3	Male	Masters	Graduate	Private School in Mass	Computer Science		Yes	85000	Per year		0	No Stock Offered		"$85,000 "	"$7,083 "	"$90,000 "	11/30/2016 14:41
Qualtrics	Software Engineer	Intern	"Seattle, WA"	Public	6933.333333	750	83200	9000			No	Yes	3	Male	Bachelors	Sophomore	University of Texas	Electrical and Computer Engineering			40	Per hour	750	0	No Stock Offered		"$92,200 "	"$7,683 "	"$92,200 "	11/30/2016 14:42
Facebook	Software Engineering Intern	Intern	Menlo Park	Public	8000	1000	96000	12000			No	Still considering		Female	Bachelors	Sophomore	Brown University	Computer Science			8000	Per month	1000	0	No Stock Offered		"$108,000 "	"$9,000 "	"$108,000 "	11/30/2016 14:43
SaaS for marketers	Assoc. Software Engineer	Full Time	South bay	Private	7916.666667	0	95000	0	5000		No	Yes		Male	Bachelors	Senior	Uc berkeley 	Comp. Sci		Yes	95000	Per year		0	No Stock Offered		"$95,000 "	"$7,917 "	"$100,000 "	11/30/2016 14:44
Big 4 Sattelite office	Software Engineer	Full Time	South Bay Area	Public	10666.66667	2708.333333	128000	32500	450000		Yes	Yes		Male	Masters	Graduate		Computer Science		Yes	128000	Per year		130000	USD	3.5 years	"$160,500 "	"$13,375 "	"$610,500 "	11/30/2016 14:44
Facebook	Software Engineer	Full Time	Seattle or NYC	Public	8916.666667	3333.333333	107000	40000	100000		No	No		Female	Bachelors	Senior	CMU	CS		Yes	107000	Per year		160000	USD	4 years with 1 year cliff	"$147,000 "	"$12,250 "	"$247,000 "	11/30/2016 14:45
Yelp	SWE	Intern	Bay Area	Public	7400	1500	88800	18000			No	Still considering		Prefer Not to Disclose	Bachelors	Sophomore				No	7400	Per month	1500	0	No Stock Offered		"$106,800 "	"$8,900 "	"$106,800 "	11/30/2016 14:45
Google	Software Engineer	Full Time	NYC	Public	9166.666667	3875	110000	46500	50000		Yes	Yes		Female	Bachelors	Senior	CMU	CS		No	110000	Per year		186000	USD	4 years with 1 year cliff	"$156,500 "	"$13,042 "	"$206,500 "	11/30/2016 14:46
Cisco		Full Time	"San Jose, CA"	Public	8166.666667	0	98000	0	8000		No	Still considering	5	Male	Bachelors	Senior				No	98000	Per year		0	No Stock Offered		"$98,000 "	"$8,167 "	"$106,000 "	11/30/2016 14:47
TripAdvisor	Software Engineering Intern	Intern	MA	Public	6066.666667	0	72800	0	4000	"Gym in company, free lunch"	Prefer not to disclose	Yes	8	Male	Bachelors	Junior	Canada	Robotics	12 weeks	No	35	Per hour		0	USD		"$72,800 "	"$6,067 "	"$76,800 "	11/30/2016 14:48
American Express	Software Engineering Intern	Intern	"Phoenix, AZ"	Public	5416.666667	5000	65000	60000			No	Still considering	6	Male	Bachelors	Junior	University of Texas at Austin	Computer Science	10 weeks		2500	Per bi-week (fortnight)	5000	0	No Stock Offered		"$125,000 "	"$10,417 "	"$125,000 "	11/30/2016 14:49
Ultimate Software	Software Engineering Intern	Intern	"Weston, FL"	Public	4680	0	56160	0						Male	Bachelors	Senior	Georgia Tech	CS			27	Per hour		0	USD		"$56,160 "	"$4,680 "	"$56,160 "	11/30/2016 14:49
Financial services		Full Time	NYC Metropolitan Area	Private	10000	0	120000	0	30000		No	Yes		Male	Bachelors	Senior	Ivy League	Mathematics	Substantial anticipated year-end bonus	Yes	120000	Per year		0	USD		"$120,000 "	"$10,000 "	"$150,000 "	11/30/2016 14:52
google	software engineer	Full Time	mtv	Public	9333.333333	4583.333333	112000	55000	56000	everything	Yes	Yes	4	Male	Bachelors	Senior				No	112000	Per year		220000	USD	4 years	"$167,000 "	"$13,917 "	"$223,000 "	11/30/2016 14:52
Google	APM Intern	Intern	"Mountain View, California"	Public	6500	3000	78000	36000	0	"Standard Google (food, shuttle, etc.)"	No	Yes	8	Male	Bachelors	Junior	"Concordia University, Canada"	Computer Science		No	1500	Per week	3000	0	No Stock Offered		"$114,000 "	"$9,500 "	"$114,000 "	11/30/2016 14:55
1010data	Data Analyst Intern	Intern	"New York, NY"	Private	6066.666667	0	72800	0	0	None	No	No	6	Male	Bachelors	Junior	Canadian University	Computer Science		No	35	Per hour	0	0	No Stock Offered		"$72,800 "	"$6,067 "	"$72,800 "	11/30/2016 14:56
Internet Media Company	Associate Software Engineer	Full Time	NYC	Series D+	7500	0	90000	0			No	No	2	Male	Bachelors	Graduate	East Coast State School	Comp Sci	Company would not budge on salary and would not disclose strike price or # of outstanding shares.	Yes	90000	Per year		2000	No Stock Offered	"4 year vesting, 1 year cliff"	"$90,000 "	"$7,500 "	"$90,000 "	11/30/2016 14:57
Lyft	Data Analyst	Full Time	SF	Series D+	10000	3333.333333	120000	40000	40000		Prefer not to disclose	No	4	Male	Bachelors	Senior	Ivy League			No	120000	Per year		160000	USD		"$160,000 "	"$13,333 "	"$200,000 "	11/30/2016 14:57
Coursera	SWE 	Intern	"Mountain View, CA"	Series C	7500	1000	90000	12000		"Free breakfast, lunch, dinner, gym, etc"	No	Yes	0	Male	Bachelors	Junior	University of Texas at Austin	Computer Science		No	7500	Per month	1000	0	No Stock Offered		"$102,000 "	"$8,500 "	"$102,000 "	11/30/2016 14:57
Google	SWE	Full Time	SoCal	Public	8750	0	105000	0	7500	google perks	No	Still considering	16	Male	Bachelors	Senior	Michigan	CS		No	105000	Per year		135	Number of Units	"4 years, 1 cliff"	"$105,000 "	"$8,750 "	"$112,500 "	11/30/2016 14:58
Course Hero	Software Engineering	Intern	"Redwood City, CA"	Series A	7800	0	93600	0		$150 per transportation	No	No		Male	Bachelors	Junior	Target School Bay Area	Computer Science		No	45	Per hour		0	USD		"$93,600 "	"$7,800 "	"$93,600 "	11/30/2016 14:59
Redfin	Software Developer	Full Time	"San Francisco, CA"	Series D+	9583.333333	1250	115000	15000	15000		Yes	Yes		Male	Bachelors	Senior	California School	Computer Science		Yes	115000	Per year		60000	USD	 4 years vesting schedule with 1 year cliff.	"$130,000 "	"$10,833 "	"$145,000 "	11/30/2016 15:01
Amazon	SDE	Full Time	"Seattle, WA"	Public	8583.333333	1354.166667	103000	16250	44500		Prefer not to disclose	Still considering	10	Male	Bachelors	Senior				No	103000	Per year		65000	USD	5/15/40/40	"$119,250 "	"$9,938 "	"$163,750 "	11/30/2016 15:02
Duolingo		Full Time	"Pittsburgh, PA"	Series D+	9583.333333	0	115000	0			No	Yes	3	Male	Bachelors	Junior	Carnegie Mellon	Comp Sci		No	115000	Per year		15000	Number of Units	"4 years, 1 year cliff"	"$115,000 "	"$9,583 "	"$115,000 "	11/30/2016 15:02
"Seed, SaaS"	Software Engineer	Full Time	"Chicago, IL"	Seed	4333.333333	0	52000	0			Yes	Yes		Male	Bachelors	Graduate	UIC	Electronic Media	Independent contractor role	No	25	Per hour		0	No Stock Offered		"$52,000 "	"$4,333 "	"$52,000 "	11/30/2016 15:02
Salesforce	Software Engineer AMTS	Full Time	"San Francisco, CA"	Public	9833.333333	1562.5	118000	18750	25000	"9400 Relocation, 100 Wellness/month, "	No	Yes		Male	Bachelors	Senior	Top largest Student Population school	Computer Science		Yes	118000	Per year		75000	USD	4 year	"$136,750 "	"$11,396 "	"$161,750 "	11/30/2016 15:03
Shopify	Software Developer Intern	Intern	Canada	Public	3725	0	44700	0	0	"Free breakfast/lunch, health perk (250$), free Shopify store, 250$ to start your business, free books at the office, free swag"	No	Yes	5	Male	Bachelors	Sophomore	Canadian university	Computer Science	"Salary was ~5000$CAD, so converted it to USD."	No	3725	Per month	0	0	No Stock Offered		"$44,700 "	"$3,725 "	"$44,700 "	11/30/2016 15:03
Facebook	Software Engineer	Full Time	"Menlo Park, CA"	Public	8916.666667	3125	107000	37500	100000	"Target bonus 10% each year, free meals and shuttle, relocation stipend"	Yes	Yes		Female	Bachelors	Senior	Northwestern University	Computer Science		Yes	107000	Per year		150000	USD	4 years vesting schedule	"$144,500 "	"$12,042 "	"$244,500 "	11/30/2016 15:03
Microsoft	Software Engineer	Full Time	"Redmond, WA"	Public	8916.666667	2500	107000	30000	30000	Standard MSFT benefits	Yes	No	5	Male	Bachelors	Senior	California School	Computer Science		No	107000	Per year		120000	USD	3.5 year vesting	"$137,000 "	"$11,417 "	"$167,000 "	11/30/2016 15:03
Facebook	Software Engineering Intern	Intern	"Menlo Park, CA, USA"	Public	8000	1500	96000	18000		Either housing stipend or corporate housing	No	Yes		Female	Bachelors	Junior					8000	Per month	1500	0	No Stock Offered		"$114,000 "	"$9,500 "	"$114,000 "	11/30/2016 15:06
"Big 4, cloud "		Full Time	Seattle	Public	8333.333333	1250	100000	15000	50000		No	Yes		Male	Bachelors	Super Senior	Washington	CS 		Yes	100000	Per year		60000	USD	4 years	"$115,000 "	"$9,583 "	"$165,000 "	11/30/2016 15:07
Arbor Networks		Intern	"Ann Arbor, MI"	Public	4506.666667	0	54080	0	0		No	No	8	Male	Bachelors	Junior	University of Michigan	Computer Science			26	Per hour	0	0	USD		"$54,080 "	"$4,507 "	"$54,080 "	11/30/2016 15:07
Tableau Software	Software Engineer	Full Time	"Seattle, WA"	Public	8750	0	105000	0		"10% yearly bonus, full healthcare"	Yes	Would rather not disclose		Prefer Not to Disclose	Bachelors	Senior	University of Washington	Computer Science		Yes	105000	Per year		3200	Number of Units	4 Years	"$105,000 "	"$8,750 "	"$105,000 "	11/30/2016 15:08
Qualtrics	Software Engineer	Full Time	"Seattle, WA"	Series B	8750	0	105000	0	12500	3% 401k contribution	Yes	No	5	Male	Bachelors	Senior	California School	Computer Science		No	105000	Per year		7500	Number of Units	4 years vesting schedule with 1 year cliff.	"$105,000 "	"$8,750 "	"$117,500 "	11/30/2016 15:09
Facebook	SWE	Full Time	"Menlo Park, CA"	Public	8916.666667	4583.333333	107000	55000	75000			Yes		Male	Bachelors	Super Senior	Bottom Tier	CS		Yes	107000	Per year		220000	USD	4 years with 1 year cliff	"$162,000 "	"$13,500 "	"$237,000 "	11/30/2016 15:10
Capital One	Software Engineer Associate (TDP)	Full Time	United States (Various Locations)	Public	7083.333333	0	85000	0	11500		No	No	4	Male	Bachelors	Senior	California School	Computer Science		No	85000	Per year		0	No Stock Offered		"$85,000 "	"$7,083 "	"$96,500 "	11/30/2016 15:11
